127.0.0.1 - - [06/Oct/2022:23:06:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:06:48 +0900] "GET /jsp03/ex04.jsp HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:07:41 +0900] "GET /jsp03/ex04.jsp HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:07:46 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age= HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:11:01 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age= HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:11:04 +0900] "GET /jsp03/ex04.jsp HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:11:08 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age=20 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:11:27 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age=20 HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:13:52 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age=20 HTTP/1.1" 500 2718
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:14:06 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age=20 HTTP/1.1" 500 2698
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:14:09 +0900] "GET /jsp03/ex04_result.jsp?id=&pw=&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age=20 HTTP/1.1" 500 2698
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:20:29 +0900] "GET /jsp03/ex04.jsp HTTP/1.1" 200 618
0:0:0:0:0:0:0:1 - - [06/Oct/2022:23:20:44 +0900] "GET /jsp03/ex04_result.jsp?id=kmg2331&pw=1234&name=%EA%B0%95%EB%AF%BC%EA%B5%AC&age=25 HTTP/1.1" 200 134
